arabic,english
ابتسام,Ibtisam
إبتهال,Ibtihal
أبية,Abiya
أرجوان,Arjuan
أرواح,Arwah
أريج,Areej
أريحا,Jericho
إسراء,Israa
أسرار,Secrets
إسعاد,Esaad
أسلية,Aslia
إسمهان,Ismahan
أسمى,Asma
أسوة,Aswa
أسيل,Aseel
أسيمة,Osima
أمة الله,Ummah  Allah
إشراق,Ishraq
إشفاق,Ishfaq
أشواق,Ashwaq
أصالة,Asala
أصيلة,Asila
إفتكار,Iftikar
أفراح,Afrah
أفكار,Afkar
أفنان,Afnan
ألحان,Alhan
ألطاف,Altaf
إلهام,Elham
أليفة,Alifa
آمال,Amal
أماني,Amani
آمنة,Amna
أمنية,Omnia
أميرة,Amira
أمينة,Amina
إناس,Inas
إنتصار,Intisar
انجي,Angie
إنصاف,Insaf
إنعام,Inas
أنيسة,Anissa
آيات,Ayat
إيناس,Inas
بارعة,Bariaa
بتلاء,Petlaa
بدوية,Badawya
بديعة,Badia
براءة,Baraa
براح,Barrah
براعم,Baraem
برلنتي,Berlinty
بريكة,Brekah
بريهان,Brihan
بريئة,Bareaa
بشرى,Bushra
بصيرة,Basira
بلبلة,Bolbola
بنان,Banan
بنانة,Banana
بنفسج,Banafsej
بهية,Bahia
بهيجة,Bahija
بوران,Buran
بيان,Bayan
بيداء,Bayda
بيسان,Bisan
بيضاء,Baydaa
بينة,Baiyena
تحفة,Tahfa
تحية,Tahya
تذكار,Tezkar
تراث,Turath
تركية,Turkeyia
تسامح,Tasamuh
تسبيح,Tasbih
تسنيم,Tasnim
تقاء,Taqaa
تقوى,Taqwa
تلال,Talal
تماضر,Tamader
تهامة,Tihama
تهاني,Tahani
تهنيد,Tahneed
توحيدة,Tawhidah
تودد,Tawaddod
توسل,Tawassul
توفيقة,Tawfika
تي,Ti
تيجان,Tijan
تيماء,Taima
ثابتة,Thabeta
ثائرة,Thaera
ثراء,Tharaa
ثناء,Thanaa
جلاء,Jala
جمانة,Jumana
جميلة,Jamila
جهام,Jaham
جهراء,Jahra
جورية,Jouria
جويرية,Jouria
جيهان,Jihan
حاكمة,Hakima
حبيبة,Habiba
حسناء,Hasna
حصة,Hessa
حلا,Hala
حميدة,Hamida
حنان,Hanan
حوراء,Horaa
حياة,Hayat
خاتون,Khatoon
ختام,Khatam
خديجة,Khadija
خلود,Kholoud
خواطر,Khawatir
خولة,Khawla
خيرية,Khairia
دانة,Dana
دانية,Dania
درية,Doria
دعاء,Doaa
دعد,Daad
دلال,Dalal
ديمة,Dima
ذكرى,Zikra
راغدة,Raghda
رامه,Rama
رامية,Ramia
رانية,Rania
راوية,Rawia
ربى,Rabaa
رحاب,Rehab
رزان,Razan
رشا,Rasha
رضوى,Radwa
رفيف,Rafeef
رقية,Roqayya
رمزية,Ramziya
رهام,Raham
رهف,Rahaf
روضة,Rawda
روعة,Rawaa
رؤى,Roaa
ريم,Reem
ريما,Rima
زكية,Zakia
زمردة,Zomoroda
زينب,Zainab
سارة,Sarah
سالي,Sally
سحر,Sahar
سلوى,Salwa
سماهر,Samaher
سمر,Samar
سمية,Sumaya
سناء,Sanaa
سهى,Suha
سهير,Suhair
شادية,Shadia
شذى,Shaza
شمائل,Shamaael
شيماء,Shaimaa
صابرين,Sabreen
صبا,Seba
عاتكة,Atka
عبلة,Abla
عبير,Abeer
عزة,Azza
عصمت,Esmat
عفاف,Afaf
علا,Ola
عنود,Anoud
غادة,Ghada
غزل,Ghazal
غيداء,Ghaida
فاتن,Faten
فاطمة,Fatima
فتحية,Fathia
فدوى,Fadwa
فريال,Faryal
فهمية,Fahmia
فوزية,Fawzia
فيحاء,Faiha
كوثر,Kawthar
لبنى,Lubna
لمى,Lama
لؤلؤة,Lulua
ليلى,Laila
ماجدة,Magda
محاسن,Mahasen
مرام,Maram
مرح,Marah
مروة,Marwa
مريم,Maryam
مزنة,Muzna
مسرة,Masara
منال,Manal
منى,Mona
منيرة,Munira
مها,Maha
مي,Maya
ميادة,Mayada
ميساء,Maysa
ميسون,Maysoon
نابغة,Nabigha
نادية,Nadia
نبيلة,Nabila
نجود,Najoud
ندى,Nada
نرمين,Nermin
نشوى,Nashwa
نغم,Nagham
نهى,Noha
نوال,Nawal
نورا,Nora
نوفة,Nofa
هالة,Hala
هبة,Heba
هدى,Hoda
هديل,Hadeel
هلا,Hala
هنادي,Hanadi
هند,Hind
هيفاء,Haifa
وداد,Wedad
وعد,Waad
ولاء,Walaa
يمنى,Youmna
أبي,Abi
أحمد,Ahmed
أحنف,Ahnaf
أزهر,Azhar
أسامة,Osama
أسد,Asad
أسمر,Asmar
أشرف,Ashraf
أكرم,Akram
الأخضر,Akhdar
المثنى,Muthanna
النعمان,Numan
الوليد,Alwaleed
إمام,Imam
آمر,Amer
أمية,Umayyah
أمين,Amin
أنصاري,Ansari
أنور,Anwar
أوس,Aws
إياد,Iyad
إيثار,Ethar 
أيسر,Acer
أيمن,Ayman
إيناس,Iman
إيهاب,Ihab
بادي,Badi
باسل,Basel
باشر,Basher
باهر,Baher
بجاد,Bajad
بدر,Badr
بدري,Badri
بدوي,Badawi
براء,Baraa
براق,Buraq
براك,Barrak
برعم,Burum
برهان,Burhan
برهوم,Barhoum
برئ,Baree
بسام,Bassam
بسطام,Bastam
بسيم,Baseem
بشامة,Bashama
بشير,Basheer
بطل,Batal
بكر,Bakr
بكري,Bakr
بلال,Bakr
بلبل,Bilal
بنداري,Bulbul
بندر,Bandari
بهاء,Bandar
تامر,Bahaa
تركي,Tamer
تمام,Tammam
تيجاني,Tijani
تيسير,Tayseer
ثنيان,Thunayan
ثواب,Thawab
جاسر,Jasser
جاسم,Jassim
جاهد,Jahed
جبير,Jubair
جحا,Juha
جعيفر,Jaafar
جعيل,Jaail
جلال,Jalal
جليل,Jalil
جمال,Jamal
جمعة,Gomaa
جندل,Jandal
جواد,Jawad
جوهري,Jawhari
حاتم,Hatem
حبشي,Habashi
حبيب,Habib
حجاج,Hajjaj
حجازي,Hijazi
حجي,Hajji
حداد,Haddad
حذيفه,Hudhaifa
حسام,Hussam
حسان,Hassan
حسنين,Hassanein
حسون,Hassoun
حسيب,Haseeb
حسين,Hussein
حفيظ,Hafeez
حلمي,Helmy
حماد,Hammad
حمادة,Hamada
حمدان,Hamdan
حمدي,Hamdi
حمزة,Hamza
حمود,Hamood
حمودة,Hammouda
حميدو,Hamido
حنبل,Hanbal
حنظلة,Handala
حنفي,Hanafi
حيدر,Haidar
حيدرة,Haidara
خازم,Khazem
خالد,Khalid
خطاب,Khattab
خلدون,Khaldoun
خميس,Khamis
خويلد,Khuwaylid
خيري,Khairi
داوود,Dawood
دريد,Duraid
رابح,Rabeh
راشد,Rashid
ربيع,Rabie
رجاء,Raja
رسول,Rasoul
رشدي,Rushdi
رضا,Reda
رضوان,Radwan
رمضان,Ramadan
رياض,Riad
زاهد,Zahid
زايد,Zayed
زهران,Zahran
زياد,Ziad
ساري,Sari
سالم,Salem
سامر,Samer
سامي,Sami
سرحان,Sarhan
سعد,Saad
سلطان,Sultan
سمير,Samir
سهيل,Suhail
شادي,Shadi
شكيب,Shakib
شهاب,Shehab
صابر,Saber
صفوان,Safwan
صلاح,Salah
صياح,Sayyah
ضاحي,Dahi
ضرغام,Dergham
طارق,Tariq
طلال,Talal
طه,Taha
عادل,Adel
عامر,Amer
عايد, Ayed
عبد الإله,Abdul Ilah
عبد الحميد,Abdul Hamid
عبد الرحمن,Abdul Rahman
عبد الله,Abdullah
عبد المعين,Abdul Mueen
عبيدة,Obeida
عثمان,Othman
عدنان,Adnan
عروة,Orwa
عزيز,Aziz
علاء,Alaa
علي,Ali
عمار,Ammar
غازي,Ghazi
غسان,Ghassan
غياث,Ghayath
فادي,Fadi
فاروق,Farouk
فراس,Firas
فهد,Fahd
فواز,Fawaz
قتادة,Qatada
قتيبة,Qutayba
قحطان,Qahtan
قصي,Qusay
قيس,Qais
كايد,Kayed
كمال,Kamal
كنعان,Kanaan
لقمان,Luqman
لؤي,Luay
ليث,Laith
ماجد,Majid
مازن,Mazen
مأمون,Maamoun
محمد,Muhammad
محمد نور,Muhammad Nour
مرهف,Marhaf
مسعود,Masoud
مشاري,Mishari
مشعل,Meshaal
مصطفى,Mustafa
مصعب,Musab
مطلق,Mutlaq
معاذ,Moaz
معاوية,Muawiyah
معتصم,Mutasim
معز,Moez
ممدوح,Mamdouh
مناف,Manaf
مهند,Muhannad
مؤيد,Muayad
ناصر,Nasser
نايف,Nayef
نديم,Nadim
نذير,Nazir
نزار,Nizar
نعمان,Noman
نواف,Nawaf
نوفل,Nofal
هاني,Hani
هزاع,Hazza
هشام,Hisham
هلال,Hilal
هواش,Hawash
هيثم,Haitham
وائل,Wael
وسام,Wissam
وضاح,Wadah
وليد,Walid
ياسر,Yasser
يامن,Yamen
أسعد,Asaad
الأحمد,Al-Ahmad
الأسعد,Al-Asaad
البشير,Al-Bashir
البكور,Al-Bakour
الحداد,Al-Haddad
الحسني,Al-Hasani
الحسين,Al-Hussein
الحسيني,Al-Husseini
الحلبوني,Al-Halbouni
الحلبي,Al-Halabi
الحمصي,Al-Homsi
الحمود,Al-Hamoud
الحموي,Al-Hamwi
الروح,Al-Rouh
السحار,Al-Sahar
الشامي,Al-Shami
الشققي,Al-Shaqqi
الصالح,Al-Saleh
الطويل,Al-Taweel
العمر,Al-Omar
القيسي,Al-Qaisi
المصري,Al-Masry
المنجد,Al-Munajjid
الموصلي,Al-Mawsili
النجار,Al-Najjar
باذنجان,Eggplant
بارودي,Baroudi
بكور,Bakour
تركاوي,Turkawi
حديد,Hadid
حسين,Hussein
حوراني,Hourani
خليل,Khalil
دياب,Diab
ريس,Rais
زكار,Zakkar
شعار,Shaar
عبد الرؤوف,Abdul Raouf
عثمان,Othman
عرابي,Orabi
عمر,Omar
قصاب,Qassab
قطان,Qattan
لاذقاني,Lathani
مؤذن,Muezzin
معد,Maed
محمد,Mohammed
محمد,Mohammad
محمد,Mohamd
محمد,Mhmd
محمد,Mhmed
محمد,Muhammed
محمد,Muhammad
محمد,Muhamad
علي,Ali
علي,Aly
زياد,Zeyad
زياد,Zeiad
زياد,Zyad
احمد,Ahmed
احمد,Ahmad
احمد,Ahmet
احمد,Ahmat
حسن,Hassan
حسن,Hasan
حسين,Hessen
حسين,Hussein
حسين,Hessin
حسام,Hossam
حسام,Hosam
حسام,Hussam
حسام,Husam
طارق,Tarek
طارق,Tarik
بلال,Belal
بلال,Bilal
خالد,Khalid
خالد,Khaled
سيد,Sayed
سيد,Saied
سيد,Saied
سعيد,Saeed
عمر,Omar
عمر,Umar
اسامة,Osama
اسامة,Usama
امين,Amin
امين,Ameen
وليد,Waleed
مصطفى,Mostafa
مصطفى,Mustafa
مصطفى,Moustafa
عشري,Ashry
معتصم,Muatassim
معتصم,Mutasim
معتصم,Moatassim
معتصم,Motasim
محسن,Mohsen
محسن,Muhsen
جلال,Galal
سهيلة,Sohaila
سهيلة,Suhaila
سهيل,Sohail
سهيل,Suhail
مصعب,Mosaab
مصعب,Musaab
ابراهيم,Ibrahim
ابراهيم,Ebrahim
ابراهيم,Ibrahem
ابراهيم,Ebrahem